Team,Home city,Arena,Capacity,Last season,Country,FinalFour_Appearances,Titles_Won,Years_of_FinalFour_Appearances,Years_of_Titles_Won
Anadolu Efes,Istanbul,Basketball Development Center,"10,000[22]",6th,Turkey,5,2,"2000, 2001, 2019, 2021, 2022","2021, 2022"
Baskonia,Vitoria-Gasteiz,Buesa Arena,"15,431[24]",14th,Spain,0,0,"",""
Bayern Munich,Munich,SAP Garden,"11,500[25]",9th,Germany,0,0,"",""
Crvena zvezda Meridianbet,Belgrade,Belgrade Arena,"18,386[26]",10th,Serbia,0,0,"",""
Dubai Basketball,Dubai,Coca-Cola Arena,"17,000",—,United Arab Emirates,0,0,"",""
FC Barcelona,Barcelona,Palau Blaugrana,"7,585[23]",5th,Spain,17,2,"1989, 1990, 1991, 1994, 1996, 1997, 2000, 2003, 2006, 2009, 2010, 2012, 2013, 2014, 2021, 2022, 2023","2003, 2010"
Fenerbahçe,Istanbul,Ülker Sports and Event Hall,"13,000[28]",1st,Turkey,7,2,"2015, 2016, 2017, 2018, 2019, 2024, 2025","2017, 2025"
Hapoel IBI Tel Aviv,Tel Aviv,Arena Sofia,"12,373[29]",(EuroCup),Israel,0,0,"",""
LDLC ASVEL,Décines-Charpieu,"LDLC Arena, Astroballe","12,523[30], 5,556[31]",15th,France,0,0,"",""
Maccabi Rapyd Tel Aviv,Tel Aviv,"","",16th,Israel,0,0,"",""
Monaco,Monaco,Salle Gaston Médecin,"5,000[32][33][34][35]",2nd,Monaco,2,0,"2023, 2025",None
Olimpia Milano,Milan,Unipol Forum,"12,700[27]",11th,Italy,4,0,"1992, 2021",None
Olympiacos,Piraeus,Peace and Friendship Stadium,"12,300[36]",3rd,Greece,14,3,"1994, 1995, 1997, 1999, 2009, 2010, 2012, 2013, 2015, 2017, 2022, 2023, 2024, 2025","1997, 2012, 2013"
Panathinaikos,Athens,OAKA Altion,"18,300[37]",4th,Greece,13,7,"1994, 1995, 1996, 2000, 2001, 2002, 2005, 2007, 2009, 2011, 2012, 2024, 2025","1996, 2000, 2002, 2007, 2009, 2011, 2024"
Paris Basketball,Paris,"Adidas Arena, Accor Arena","8,000[38], 15,705[39]",8th,France,0,0,"",""
Partizan,Belgrade,Belgrade Arena,"18,386[40]",12th,Serbia,3,1,"1988, 1992, 1998, 2010",1992
Real Madrid,Madrid,Movistar Arena,"15,000[41]",7th,Spain,12,6,"1995, 1996, 2011, 2013, 2014, 2015, 2017, 2018, 2019, 2022, 2023, 2024","1995, 2015, 2018, 2023"
Valencia Basket,Valencia,Roig Arena,"15,600",(EuroCup),Spain,0,0,"",""
Virtus Bologna,Bologna,"Virtus Arena, PalaDozza","9,980[42], 5,570[43]",17th,Italy,5,2,"1998, 1999, 2001, 2002, 2004","1998, 2001, 2002"
Žalgiris,Kaunas,Žalgirio Arena,"15,415[44]",13th,Lithuania,2,1,"1999, 2018",1999
